Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
DeMMO6_1	k__Bacteria (UID2565)	2921	152	93	1	150	1	0	0	0	98.92	1.08	0.00
DeMMO6_10	k__Bacteria (UID2570)	433	270	179	8	260	2	0	0	0	96.37	1.12	0.00
DeMMO6_100	k__Bacteria (UID203)	5449	104	58	95	9	0	0	0	0	13.79	0.00	0.00
DeMMO6_11	k__Bacteria (UID1452)	924	163	110	6	153	4	0	0	0	96.36	2.91	25.00
DeMMO6_12	c__Deltaproteobacteria (UID3216)	83	247	155	15	229	3	0	0	0	95.48	1.94	0.00
DeMMO6_13	c__Deltaproteobacteria (UID3216)	83	247	155	9	234	4	0	0	0	95.32	2.26	0.00
DeMMO6_14	k__Bacteria (UID2495)	2993	143	89	5	137	1	0	0	0	94.38	0.19	0.00
DeMMO6_15	k__Bacteria (UID1452)	924	163	110	10	151	2	0	0	0	92.73	1.82	0.00
DeMMO6_16	k__Bacteria (UID1452)	924	163	110	8	148	7	0	0	0	92.73	5.91	0.00
DeMMO6_17	c__Deltaproteobacteria (UID3216)	83	247	155	19	219	9	0	0	0	92.72	5.05	0.00
DeMMO6_18	c__Deltaproteobacteria (UID3216)	83	247	155	13	232	2	0	0	0	92.56	0.81	0.00
DeMMO6_19	p__Firmicutes (UID1022)	100	293	157	20	264	9	0	0	0	91.38	1.27	11.11
DeMMO6_2	k__Bacteria (UID2570)	433	270	179	2	267	1	0	0	0	98.88	0.56	0.00
DeMMO6_20	c__Deltaproteobacteria (UID3216)	83	247	155	20	217	10	0	0	0	91.02	4.77	10.00
DeMMO6_21	c__Deltaproteobacteria (UID3216)	83	247	155	22	223	2	0	0	0	90.66	1.29	0.00
DeMMO6_22	k__Bacteria (UID1452)	924	161	108	13	144	4	0	0	0	90.59	3.70	0.00
DeMMO6_23	k__Bacteria (UID2565)	2921	152	93	12	139	1	0	0	0	89.36	1.08	0.00
DeMMO6_24	p__Firmicutes (UID242)	830	245	130	26	216	3	0	0	0	89.09	1.79	0.00
DeMMO6_25	p__Firmicutes (UID241)	930	213	118	19	189	4	1	0	0	88.14	2.82	0.00
DeMMO6_26	k__Bacteria (UID2565)	2921	152	93	12	139	1	0	0	0	88.11	1.08	0.00
DeMMO6_27	k__Bacteria (UID1452)	924	163	110	20	138	5	0	0	0	87.27	3.82	0.00
DeMMO6_28	k__Bacteria (UID2570)	433	270	179	31	238	1	0	0	0	86.83	0.56	0.00
DeMMO6_29	k__Bacteria (UID2570)	433	270	179	37	232	1	0	0	0	85.35	0.11	0.00
DeMMO6_3	k__Bacteria (UID2570)	433	270	179	2	265	3	0	0	0	98.88	1.68	0.00
DeMMO6_30	k__Bacteria (UID2328)	3167	126	75	21	103	2	0	0	0	83.39	2.67	0.00
DeMMO6_31	k__Bacteria (UID2495)	2993	147	91	24	120	3	0	0	0	83.24	3.30	0.00
DeMMO6_32	c__Deltaproteobacteria (UID3217)	62	280	168	43	219	17	1	0	0	83.20	9.23	45.00
DeMMO6_33	k__Bacteria (UID1452)	924	163	110	20	136	7	0	0	0	82.73	5.76	0.00
DeMMO6_34	p__Firmicutes (UID241)	930	213	118	27	184	2	0	0	0	82.20	1.13	0.00
DeMMO6_35	k__Bacteria (UID2570)	433	273	183	51	219	3	0	0	0	80.95	1.28	0.00
DeMMO6_36	p__Firmicutes (UID241)	930	213	118	32	181	0	0	0	0	80.51	0.00	0.00
DeMMO6_37	k__Bacteria (UID1452)	924	151	101	24	126	1	0	0	0	78.05	0.99	0.00
DeMMO6_38	k__Bacteria (UID2495)	2993	143	89	22	121	0	0	0	0	77.90	0.00	0.00
DeMMO6_39	k__Bacteria (UID203)	5449	104	58	16	87	1	0	0	0	76.57	0.16	100.00
DeMMO6_4	k__Bacteria (UID2495)	2993	143	89	1	136	6	0	0	0	98.88	5.72	33.33
DeMMO6_40	c__Deltaproteobacteria (UID3216)	83	247	155	60	176	11	0	0	0	76.00	2.63	0.00
DeMMO6_41	k__Bacteria (UID2495)	2993	143	89	24	117	2	0	0	0	75.66	2.25	0.00
DeMMO6_42	k__Bacteria (UID2495)	2993	147	91	28	119	0	0	0	0	74.63	0.00	0.00
DeMMO6_43	k__Bacteria (UID1452)	924	163	110	37	122	4	0	0	0	72.73	2.91	0.00
DeMMO6_44	k__Bacteria (UID203)	5449	104	58	21	81	2	0	0	0	68.81	3.45	50.00
DeMMO6_45	k__Bacteria (UID1452)	924	163	110	47	113	3	0	0	0	67.27	2.27	0.00
DeMMO6_46	k__Bacteria (UID1452)	924	163	110	45	107	11	0	0	0	65.45	8.38	0.00
DeMMO6_47	k__Bacteria (UID1452)	924	160	109	43	117	0	0	0	0	64.76	0.00	0.00
DeMMO6_48	k__Bacteria (UID2495)	2993	147	91	50	96	1	0	0	0	64.74	1.10	0.00
DeMMO6_49	p__Firmicutes (UID1022)	100	295	158	108	185	2	0	0	0	64.24	0.47	50.00
DeMMO6_5	k__Bacteria (UID2565)	2921	152	93	2	148	2	0	0	0	98.86	2.15	0.00
DeMMO6_50	k__Bacteria (UID1452)	924	161	108	45	116	0	0	0	0	63.43	0.00	0.00
DeMMO6_51	p__Firmicutes (UID239)	1324	176	102	84	89	3	0	0	0	61.29	2.45	0.00
DeMMO6_52	c__Deltaproteobacteria (UID3216)	83	247	155	79	164	4	0	0	0	60.21	2.58	25.00
DeMMO6_53	c__Betaproteobacteria (UID3959)	235	419	211	164	248	7	0	0	0	60.13	0.50	14.29
DeMMO6_54	k__Bacteria (UID1452)	924	151	101	46	105	0	0	0	0	58.91	0.00	0.00
DeMMO6_55	k__Bacteria (UID2569)	434	278	186	106	170	2	0	0	0	58.77	0.54	0.00
DeMMO6_56	k__Bacteria (UID1452)	924	163	110	67	88	6	2	0	0	57.27	7.73	8.33
DeMMO6_57	k__Bacteria (UID1452)	924	151	101	49	102	0	0	0	0	56.90	0.00	0.00
DeMMO6_58	k__Bacteria (UID2565)	2921	143	88	53	90	0	0	0	0	53.68	0.00	0.00
DeMMO6_59	k__Bacteria (UID1452)	924	151	101	59	92	0	0	0	0	53.56	0.00	0.00
DeMMO6_6	c__Deltaproteobacteria (UID3216)	83	247	155	2	236	9	0	0	0	98.71	4.19	0.00
DeMMO6_60	k__Bacteria (UID203)	5449	104	58	60	36	8	0	0	0	52.88	1.44	100.00
DeMMO6_61	k__Bacteria (UID1452)	924	163	110	78	84	1	0	0	0	56.36	0.18	0.00
DeMMO6_62	p__Firmicutes (UID239)	1324	175	101	64	109	2	0	0	0	52.31	1.49	0.00
DeMMO6_63	k__Bacteria (UID1452)	924	151	101	56	95	0	0	0	0	51.49	0.00	0.00
DeMMO6_64	c__Deltaproteobacteria (UID3216)	83	247	155	115	119	13	0	0	0	51.00	4.09	7.69
DeMMO6_65	k__Bacteria (UID2495)	2993	143	89	65	77	1	0	0	0	50.02	0.56	100.00
