Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
DeMMO5_1	k__Bacteria (UID3187)	2258	181	110	0	180	1	0	0	0	100.00	0.91	0.00
DeMMO5_10	k__Bacteria (UID238)	2248	125	78	29	88	8	0	0	0	79.15	6.20	25.00
DeMMO5_11	k__Bacteria (UID3187)	2258	181	110	31	128	20	2	0	0	78.12	15.88	15.38
DeMMO5_12	k__Bacteria (UID2565)	2921	143	88	41	99	3	0	0	0	77.44	3.41	0.00
DeMMO5_13	c__Alphaproteobacteria (UID3305)	564	349	230	109	235	5	0	0	0	75.84	2.17	80.00
DeMMO5_14	k__Bacteria (UID2565)	2921	152	93	25	122	5	0	0	0	75.45	4.30	0.00
DeMMO5_15	k__Bacteria (UID2565)	2921	152	93	30	113	9	0	0	0	74.95	8.06	0.00
DeMMO5_16	k__Bacteria (UID209)	5443	105	59	16	85	4	0	0	0	74.58	2.16	0.00
DeMMO5_17	p__Euryarchaeota (UID3)	148	188	125	52	132	4	0	0	0	73.26	2.40	0.00
DeMMO5_18	k__Bacteria (UID203)	5449	104	58	17	85	2	0	0	0	72.70	3.45	0.00
DeMMO5_19	c__Deltaproteobacteria (UID3216)	83	247	155	67	173	6	1	0	0	71.20	4.35	66.67
DeMMO5_2	c__Gammaproteobacteria (UID4443)	356	451	270	25	420	5	1	0	0	97.40	1.76	0.00
DeMMO5_20	k__Bacteria (UID2495)	2993	147	91	34	99	14	0	0	0	70.62	13.74	7.14
DeMMO5_21	k__Bacteria (UID1452)	924	151	101	39	112	0	0	0	0	68.15	0.00	0.00
DeMMO5_22	k__Bacteria (UID209)	5443	105	59	22	81	2	0	0	0	67.77	1.00	0.00
DeMMO5_23	f__Rhodocyclaceae (UID3972)	30	540	241	162	339	36	3	0	0	67.09	8.89	2.22
DeMMO5_24	c__Betaproteobacteria (UID3959)	235	419	211	116	263	37	3	0	0	66.97	10.44	0.00
DeMMO5_25	k__Bacteria (UID2565)	2921	152	93	46	105	1	0	0	0	66.84	1.08	0.00
DeMMO5_26	c__Deltaproteobacteria (UID3216)	83	247	155	97	148	2	0	0	0	65.88	0.81	0.00
DeMMO5_27	k__Bacteria (UID2982)	88	230	148	64	163	3	0	0	0	65.32	2.03	0.00
DeMMO5_28	c__Deltaproteobacteria (UID3216)	83	247	155	105	111	27	4	0	0	63.76	19.22	7.69
DeMMO5_29	c__Deltaproteobacteria (UID3216)	83	247	155	73	154	20	0	0	0	63.67	7.95	35.00
DeMMO5_3	p__Firmicutes (UID1022)	100	295	158	8	285	2	0	0	0	97.15	0.32	50.00
DeMMO5_30	k__Bacteria (UID2495)	2993	147	91	48	97	2	0	0	0	56.33	0.28	50.00
DeMMO5_31	k__Bacteria (UID203)	5449	104	58	30	69	5	0	0	0	54.28	4.52	40.00
DeMMO5_32	k__Archaea (UID2)	207	149	107	82	55	12	0	0	0	50.70	10.28	0.00
DeMMO5_33	k__Bacteria (UID203)	5449	100	55	55	33	12	0	0	0	49.82	9.34	58.33
DeMMO5_34	k__Bacteria (UID3187)	2258	181	110	92	76	13	0	0	0	45.28	9.15	0.00
DeMMO5_35	s__thiocyanoxidans (UID4309)	66	1101	252	585	463	47	5	0	1	43.77	3.76	2.60
DeMMO5_36	p__Firmicutes (UID1022)	100	295	158	155	133	7	0	0	0	41.69	1.87	0.00
DeMMO5_37	k__Bacteria (UID2495)	2993	143	89	62	78	3	0	0	0	41.15	1.23	0.00
DeMMO5_38	p__Firmicutes (UID1022)	100	293	157	189	103	1	0	0	0	36.94	0.08	0.00
DeMMO5_39	k__Bacteria (UID2495)	2993	143	89	84	56	3	0	0	0	36.58	3.37	0.00
DeMMO5_4	o__Cytophagales (UID2936)	47	454	336	28	419	7	0	0	0	93.60	1.35	42.86
DeMMO5_40	k__Bacteria (UID203)	5449	104	58	77	21	6	0	0	0	36.36	7.76	0.00
DeMMO5_41	k__Bacteria (UID203)	5449	104	58	47	43	13	1	0	0	33.99	3.06	0.00
DeMMO5_42	k__Bacteria (UID2495)	2993	143	89	89	54	0	0	0	0	32.70	0.00	0.00
DeMMO5_43	k__Bacteria (UID1452)	924	161	108	111	49	1	0	0	0	32.28	0.46	100.00
DeMMO5_44	p__Euryarchaeota (UID49)	95	228	153	147	68	13	0	0	0	31.67	2.69	0.00
DeMMO5_45	k__Bacteria (UID1452)	924	161	108	110	46	4	1	0	0	30.57	4.63	0.00
DeMMO5_46	k__Bacteria (UID2495)	2993	143	89	101	42	0	0	0	0	30.23	0.00	0.00
DeMMO5_47	c__Gammaproteobacteria (UID4443)	356	451	270	296	138	17	0	0	0	29.29	1.97	0.00
DeMMO5_48	c__Betaproteobacteria (UID3959)	235	414	209	258	149	6	1	0	0	29.19	0.96	66.67
DeMMO5_49	k__Bacteria (UID203)	5449	104	58	74	28	2	0	0	0	28.67	1.72	0.00
DeMMO5_5	k__Bacteria (UID1453)	901	171	117	12	156	3	0	0	0	93.36	2.14	0.00
DeMMO5_50	p__Euryarchaeota (UID3)	148	188	125	136	50	2	0	0	0	25.31	0.84	50.00
DeMMO5_51	k__Archaea (UID2)	207	149	107	114	34	1	0	0	0	25.23	0.93	0.00
DeMMO5_52	k__Bacteria (UID1452)	924	163	110	109	44	10	0	0	0	25.22	2.69	0.00
DeMMO5_53	p__Proteobacteria (UID3880)	1495	261	164	185	69	7	0	0	0	21.93	0.82	28.57
DeMMO5_54	k__Bacteria (UID2495)	2993	147	91	117	28	1	1	0	0	19.98	2.20	25.00
DeMMO5_55	c__Alphaproteobacteria (UID3305)	564	349	230	256	82	11	0	0	0	19.81	1.39	0.00
DeMMO5_56	c__Deltaproteobacteria (UID3216)	83	247	155	204	42	1	0	0	0	16.36	0.16	0.00
DeMMO5_57	p__Proteobacteria (UID3880)	1495	261	164	213	40	8	0	0	0	14.79	0.65	0.00
DeMMO5_58	k__Bacteria (UID203)	5449	104	58	89	15	0	0	0	0	14.73	0.00	0.00
DeMMO5_59	root (UID1)	5656	56	24	53	3	0	0	0	0	12.50	0.00	0.00
DeMMO5_6	k__Bacteria (UID2570)	433	270	179	28	233	9	0	0	0	92.23	2.33	66.67
DeMMO5_7	p__Firmicutes (UID1022)	100	293	157	19	263	11	0	0	0	91.61	2.77	45.45
DeMMO5_8	k__Bacteria (UID2495)	2993	147	91	16	131	0	0	0	0	84.62	0.00	0.00
DeMMO5_9	k__Bacteria (UID2565)	2921	152	93	18	133	1	0	0	0	84.46	0.06	100.00
